University;Theme;Service;Tool;Tool_Description;Importance;Service_Description;;;
TUKE;Authentication & Identities;Federated Identity Provider;SafeID;Shibboleth ready. Member of EDUGAIN;Core;The federated identity provider system provides a single access to multiple systems across different organizations;;;
MCI;Authentication & Identities;Federated Service Provider;Shibboleth SP;"
- Notice : standard authent for some services";Core;This service allows the authenticated user to access the diffrent services of the organization.;;;
UniGe;Authentication & Identities;Federated Service Provider;Shibboleth SP;;Core;This service allows the authenticated user to access the diffrent services of the organization.;;;
UCA;Authentication & Identities;Federated Service Provider;Shibboleth SP;;Core;This service allows the authenticated user to access the diffrent services of the organization.;;;
UniGe;Authentication & Identities;LDAP directory;LDAP;"To store username, pwd, etc.
Used for pwd validation for example";Core;"LDAP is a protocol that many different directory services and access management solutions can understand.
It is used to communicate with Active Directory.";;;
UCA;Authentication & Identities;LDAP directory;LDAP;;Core;"LDAP is a protocol that many different directory services and access management solutions can understand.
It is used to communicate with Active Directory.";;;
USE ;Authentication & Identities;LDAP directory;LDAP;;Core;"LDAP is a protocol that many different directory services and access management solutions can understand.
It is used to communicate with Active Directory.";;;
TUKE;Authentication & Identities;LDAP directory;LDAP;;Core;"LDAP is a protocol that many different directory services and access management solutions can understand.
It is used to communicate with Active Directory.";;;
UCA;Authentication & Identities;Master Data Management;EBX + Iway;"- TIBCO EBX™ software helps organizations avoid silos to managing data assets across the enterprise.
- Information Builder iWay is an Enterprise Service Bus (ESB)";0;The Master Data Management service defines the processes to ensure the uniformity, accuracy, stewardship, semantic consistency and accountability of the master data assets.;;;
UniGe;Authentication & Identities;SSO Authentication;SSO - OneLogin;;Core;"The system needs an authentication service to restrict the access to the different services.
The single-sign-on is a method that allows the user to log in once and to access several services with the same session.";;;
UniGe;Authentication & Identities;SSO Authentication;SSO integration - simpleSAMLphp;Federated SSO;Core;"The system needs an authentication service to restrict the access to the different services.
The single-sign-on is a method that allows the user to log in once and to access several services with the same session.";;;
UniGe;Authentication & Identities;SSO Authentication;UnigePass - legacy;Legacy SSO Authentication & Identities system;Core;"The system needs an authentication service to restrict the access to the different services.
The single-sign-on is a method that allows the user to log in once and to access several services with the same session.";;;
UCA;Authentication & Identities;SSO Authentication;SSO - CAS;;Core;"The system needs an authentication service to restrict the access to the different services.
The single-sign-on is a method that allows the user to log in once and to access several services with the same session.";;;
USE ;Authentication & Identities;SSO Authentication;SSO - adAS;SSO Authentication & Identities (SAML 2.0, Shibboleth, …);Core;"The system needs an authentication service to restrict the access to the different services.
The single-sign-on is a method that allows the user to log in once and to access several services with the same session.";;;
TUKE;Authentication & Identities;SSO Authentication;SSO - KeyCloak;OpenID Connect, Oauth, SAML;Core;"The system needs an authentication service to restrict the access to the different services.
The single-sign-on is a method that allows the user to log in once and to access several services with the same session.";;;
UniGe;Campus & Community;Content management;Drupal;Unige Webkit : Drupal-based CMS and visual identity kit/ themes for internal/external web publishing;Normal;"This service aims to modernize the content management by : 
- optimizing the entire information lifecycle
- automating workflows  
- providing content governance.";;;
UCA;Campus & Community;Content management;KSUP;;Normal;"This service aims to modernize the content management by : 
- optimizing the entire information lifecycle
- automating workflows  
- providing content governance.";;;
UniGe;Campus & Community;Internal communication;AulaWeb;;Normal;"The universities can communicate and disseminate informations internally.
Only the university members can access these informations.";;;
MCI;Campus & Community;Internal communication;Department sites;"Web platform
www.mci.edu";Normal;"The universities can communicate and disseminate informations internally.
Only the university members can access these informations.";;;
MCI;Campus & Community;Internal communication;Sharepoint;;Normal;"The universities can communicate and disseminate informations internally.
Only the university members can access these informations.";;;
MCI;Campus & Community;Internal communication;Selfservice portal (myMCI);Open access publications are submitted via myMCI and published to mci.edu after approval;Normal;"The universities can communicate and disseminate informations internally.
Only the university members can access these informations.";;;
UniGe;Campus & Community;Internal communication;Teams;;Normal;"The universities can communicate and disseminate informations internally.
Only the university members can access these informations.";;;
USE ;Campus & Community;Internal communication;Mailman;Mailing list server;Normal;"The universities can communicate and disseminate informations internally.
Only the university members can access these informations.";;;
TUKE;Campus & Community;Internal communication;Departments sites;;Normal;"The universities can communicate and disseminate informations internally.
Only the university members can access these informations.";;;
MCI;Campus & Community;Social networks;Linkedin - Facebook - Twitter - Instagram - Telegram;;Core;The universities publish informations and promote throught the social networks : twitter, instragram, etc.;;;
MCI;Campus & Community;Social networks;Mailing list;;Core;The universities publish informations and promote throught the social networks : twitter, instragram, etc.;;;
MCI;Campus & Community;Social networks;Research gate;Social network focusing on research;Core;The universities publish informations and promote throught the social networks : twitter, instragram, etc.;;;
UniGe;Campus & Community;Social networks;Linkedin - Facebook - Twitter - Instagram - Telegram;;Core;The universities publish informations and promote throught the social networks : twitter, instragram, etc.;;;
UniGe;Campus & Community;Social networks;Video channels;YouTube, StreamYard;Core;The universities publish informations and promote throught the social networks : twitter, instragram, etc.;;;
UCA;Campus & Community;Social networks;Linkedin - Facebook - Twitter - Instagram - Telegram;;Core;The universities publish informations and promote throught the social networks : twitter, instragram, etc.;;;
USE ;Campus & Community;Social networks;Linkedin - Facebook - Twitter - Instagram - Telegram;;Core;The universities publish informations and promote throught the social networks : twitter, instragram, etc.;;;
TUKE;Campus & Community;Social networks;Linkedin - Facebook - Twitter - Instagram - Telegram;;Core;The universities publish informations and promote throught the social networks : twitter, instragram, etc.;;;
UniGe;Campus & Community;Video creation;Screencast-o-matic;Web-based Screencast capture;Normal;"The professors need to create videos as courses materials. 
The video creation service gives them access to standards and good practices, and allows them to edit the content.";;;
UniGe;Campus & Community;Video Streaming;StreamYard;Video stream tool;Normal;"The video streaming is a method of viewing video without actually downloading the media files.
The video streaming could be useful for the students to take their online courses and access any academic content in a video format.";;;
UniGe;Career Management ;Job Placement ;AlmaLaurea;National database for job placement;Normal;"The job placement service allows the students to access jobs at the end of their studies.
The job offers are centralized and published so the students and researchers can search through all the offers and find the ones that match their criteria.";;;
UCA;Career Management ;Job Placement ;Alumnforce;Job offers and internships from the Alumni community;Normal;"The job placement service allows the students to access jobs at the end of their studies.
The job offers are centralized and published so the students and researchers can search through all the offers and find the ones that match their criteria.";;;
UniGe;Career Management ;National registry;ANS;Careers;0;"The national registry allows to manage the career and graduation of each students.
The students can check for the validated credits, see if the exams are passed, etc.
This service still requires manual operations from the admin staff, as for the transcript delivery.";;;
UniGe;Career Management ;National registry;Ustat;Careers;0;"The national registry allows to manage the career and graduation of each students.
The students can check for the validated credits, see if the exams are passed, etc.
This service still requires manual operations from the admin staff, as for the transcript delivery.";;;
MCI;Career Management ;Submit CVs;selfservice portal (myMCI);CVs are submitted via myMCI and published to mci.edu after approval;0;This service includes the submission,  the maintenance, and the publication of the researchers CVs.;;;
UCA;Collaboration & communication;Chat ;Teams;;Core;Every user is able to communicate through direct messages in one to one, or inside a private group with several users.;;;
MCI;Collaboration & communication;Collaborative editor;Overleaf;"LaTex editor
Online solution";Core;"The collaborative editor gives the possibility for a set of users users to : 
- edit the same document at the same time
- see the modifications of each other collaborators.
The users who are not authorized cannot not access the document.";;;
MCI;Collaboration & communication;Collaborative editor;OnlyOffice;Solution in test phase;Core;"The collaborative editor gives the possibility for a set of users users to : 
- edit the same document at the same time
- see the modifications of each other collaborators.
The users who are not authorized cannot not access the document.";;;
MCI;Collaboration & communication;Collaborative editor;Seafile;Solution in test phase;Core;"The collaborative editor gives the possibility for a set of users users to : 
- edit the same document at the same time
- see the modifications of each other collaborators.
The users who are not authorized cannot not access the document.";;;
UCA;Collaboration & communication;Collaborative editor;iParapheur;With signature;Core;"The collaborative editor gives the possibility for a set of users users to : 
- edit the same document at the same time
- see the modifications of each other collaborators.
The users who are not authorized cannot not access the document.";;;
UniGe;Collaboration & communication;Conferencing;BBB;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Collaboration & communication;Conferencing;Teams;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Collaboration & communication;Conferencing;Zoom;Zoom is for meeting with externals;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Collaboration & communication;Conferencing;Renavisio;To communicate with pertners;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Collaboration & communication;Conferencing;Rendez-vous;To communicate with pertners;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
USE ;Collaboration & communication;Conferencing;Teams;Video conferencing, chatting and file sharing;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
USE ;Collaboration & communication;Conferencing;BlackBoard Collaborate Ultra;Videoconferencing;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
MCI;Collaboration & communication;Conferencing;BigBlueButton;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
MCI;Collaboration & communication;Conferencing;Adobe Connect ;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
MCI;Collaboration & communication;Conferencing;Zoom;"- For the lectures : study.mci4me.at
- For conferences : meet.mci4me.at";Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
MCI;Collaboration & communication;Conferencing;Teams;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
MCI;Collaboration & communication;Conferencing;TeamViewer;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UniGe;Collaboration & communication;Conferencing;Teams;+ sharing data, etc.;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UniGe;Collaboration & communication;Conferencing;Streams;For large audience;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Collaboration & communication;Conferencing;Zoom;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
TUKE;Collaboration & communication;Conferencing;Cisco Webex;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
TUKE;Collaboration & communication;Conferencing;IP Telephony;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
TUKE;Collaboration & communication;Conferencing;Teams;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Collaboration & communication;Conferencing;Panopto;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Collaboration & communication;Conferencing;Teams;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Collaboration & communication;Conferencing;BigBlueButton;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
TUKE;Collaboration & communication;Conferencing;Cisco Webex;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
TUKE;Collaboration & communication;Conferencing;Teams;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UCA;Campus & Community;Content management;Nuxeo;;Normal;"This service aims to modernize the content management by : 
- optimizing the entire information lifecycle
- automating workflows  
- providing content governance.";;;
USE ;Collaboration & communication;Document management;NextCloud;Virtual hard disk for all university community members;Core;"The users have a virtual hard disk, to store their documents.
This service does not include shared spaces.";;;
MCI;Collaboration & communication;Email;Roundcube, exim;Mailsystem for faculty and student;Normal;"This service allows the university members to communicate by emails.
The email service includes the use of mailinng lists.";;;
MCI;Collaboration & communication;Email;Exchange;Mailsystem for faculty and staff;Normal;"This service allows the university members to communicate by emails.
The email service includes the use of mailinng lists.";;;
UniGe;Collaboration & communication;Email;Exchange;;Normal;"This service allows the university members to communicate by emails.
The email service includes the use of mailinng lists.";;;
UCA;Collaboration & communication;Email;Office 365;;Normal;"This service allows the university members to communicate by emails.
The email service includes the use of mailinng lists.";;;
USE ;Collaboration & communication;Email;MS-Exchange;e-mail service;Normal;"This service allows the university members to communicate by emails.
The email service includes the use of mailinng lists.";;;
TUKE;Collaboration & communication;Email;Office 365;;Normal;"This service allows the university members to communicate by emails.
The email service includes the use of mailinng lists.";;;
MCI;Collaboration & communication;Files sharing;ACOnet;For huge files;Core;The files sharing is a specific service for the transfer of huge files.;;;
MCI;Collaboration & communication;Files sharing;Samba;For day to day use on windows;Core;The files sharing is a specific service for the transfer of huge files.;;;
USE ;Collaboration & communication;Files sharing;consigna.us.es;Self-developed software for big size file sharing;Core;The files sharing is a specific service for the transfer of huge files.;;;
TUKE;Collaboration & communication;Files sharing;Samba;;Core;The files sharing is a specific service for the transfer of huge files.;;;
TUKE;Collaboration & communication;Files sharing;NFS;;Core;The files sharing is a specific service for the transfer of huge files.;;;
TUKE;Collaboration & communication;Files sharing;NextCloud;;Core;The files sharing is a specific service for the transfer of huge files.;;;
UCA;Collaboration & communication;Internal documentation tool ;Confluence;;Normal;"Documentation tools are available for all the university members.
The admin staff can enrich these documentations.";;;
TUKE;Collaboration & communication;Internal documentation tool ;DocuWiki;;Normal;"Documentation tools are available for all the university members.
The admin staff can enrich these documentations.";;;
UniGe;Collaboration & communication;Mailing list manager;Sympa;;Normal;A mailing list manager facilitates the distribution of information to many internet users. Mailing lists are often used as a two-way method of discussion between interested parties, or a one-way dissemination of information where only selected individuals can make posts.;;;
MCI;Collaboration & communication;Source Control Management;Gitea;For tech departments;Normal;The softwares sources are stored and versioned to allow collaborative work for software developers.;;;
TUKE;Collaboration & communication;Source Control Management;GitLab;;Normal;The softwares sources are stored and versioned to allow collaborative work for software developers.;;;
UCA;Collaboration & communication;SMS sender;AllmySMS;to send SMS to communities;Normal;"The SMS sender service allows to automatically send SMS to users.
It is used to send SMS to the communities within the university.";;;
UniGe;Collaboration & communication;Conferencing;Teams;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
UniGe;Collaboration & communication;Conferencing;Zoom;;Core;"The users can attend video conferences with one or multiple attendees.
The conference can be open to externals or limited to specific people.";;;
MCI;Collaboration & communication;Workspace Management;Sakai;"For faculty and staff
Access to shared resources (wiki, etc)";Core;"The users can create workspaces and invite other users.
They have the possibility to invite external users as well.
In the workspace, they can share documents and access the shared resources.";;;
UniGe;Collaboration & communication;Workspace Management;Sympa;;Core;"The users can create workspaces and invite other users.
They have the possibility to invite external users as well.
In the workspace, they can share documents and access the shared resources.";;;
UniGe;Collaboration & communication;Workspace Management;Office 365;Teams, Sharepoint, OneDrive…;Core;"The users can create workspaces and invite other users.
They have the possibility to invite external users as well.
In the workspace, they can share documents and access the shared resources.";;;
UCA;Collaboration & communication;Workspace Management;Sharepoint;;Core;"The users can create workspaces and invite other users.
They have the possibility to invite external users as well.
In the workspace, they can share documents and access the shared resources.";;;
UCA;Collaboration & communication;Workspace Management;Office 365;OneDrive;Core;"The users can create workspaces and invite other users.
They have the possibility to invite external users as well.
In the workspace, they can share documents and access the shared resources.";;;
USE ;Collaboration & communication;Workspace Management;Office 365;Onedrive, Teams, Sharepoint, Outlook, Forms, …;Core;"The users can create workspaces and invite other users.
They have the possibility to invite external users as well.
In the workspace, they can share documents and access the shared resources.";;;
TUKE;Collaboration & communication;Workspace Management;Office 365;;Core;"The users can create workspaces and invite other users.
They have the possibility to invite external users as well.
In the workspace, they can share documents and access the shared resources.";;;
USE ;Campus & Community;Curriculum creation;UXXI-AC;Faculties use the academic ERP to register their plan ;0;"The universities administrations need to design and specify the curriculum.
They can set the description, the way the course is taught (online, on premise), who is teaching, etc.
All these informations are then available for the students and for the professors on a dedicated platform.";;;
TUKE;Campus & Community;Curriculum creation;MAIS Portail;;0;"The universities administrations need to design and specify the curriculum.
They can set the description, the way the course is taught (online, on premise), who is teaching, etc.
All these informations are then available for the students and for the professors on a dedicated platform.";;;
UniGe;Campus & Community;Curriculum creation;Unige Webkit;Publish course offer;0;"The universities administrations need to design and specify the curriculum.
They can set the description, the way the course is taught (online, on premise), who is teaching, etc.
All these informations are then available for the students and for the professors on a dedicated platform.";;;
MCI;Campus & Community;Curriculum creation;MCI-Designer;Support internal management processes;0;"The universities administrations need to design and specify the curriculum.
They can set the description, the way the course is taught (online, on premise), who is teaching, etc.
All these informations are then available for the students and for the professors on a dedicated platform.";;;
UCA;Campus & Community;Curriculum creation;APOGEE;Old schooling application;0;"The universities administrations need to design and specify the curriculum.
They can set the description, the way the course is taught (online, on premise), who is teaching, etc.
All these informations are then available for the students and for the professors on a dedicated platform.";;;
UCA;Campus & Community;Curriculum creation;PEGASE;New schooling application;0;"The universities administrations need to design and specify the curriculum.
They can set the description, the way the course is taught (online, on premise), who is teaching, etc.
All these informations are then available for the students and for the professors on a dedicated platform.";;;
UCA;Courses management;Planning;ADE;Time schedules and roobooking;Normal;The admin staff can manage the classes plannings : set a time and a place.;;;
MCI;Events management;Conference information;Sharepoint calendar;Sharepoint calendar managed by the department for Research and Development to inform about upcoming conferences & events;Important;This service allows the dissemination of information about the upcoming conferences : date, topic, etc.;;;
TUKE;Events management;Conference information;Library IS;;Important;This service allows the dissemination of information about the upcoming conferences : date, topic, etc.;;;
UCA;Events management;Conference organization;ScienceConf;;Normal;"The conference organization covers several functionalities :
- registrer to an upcoming conference and receive a confirmation
- registrations monitoring";;;
UCA;Events management;Conference organization;EasyChair;;Normal;"The conference organization covers several functionalities :
- registrer to an upcoming conference and receive a confirmation
- registrations monitoring";;;
USE ;Events management;Conference organization;Symposium (gestioneventos.us.es);Events organization;Normal;"The conference organization covers several functionalities :
- registrer to an upcoming conference and receive a confirmation
- registrations monitoring";;;
UCA;Events management;Conference resources;University web platform;Web platform http://epi-revel.unice.fr/;Normal;"The conference organizers are able to upload the resources of the conference.
The resources remain accessible after the conference.";;;
TUKE;Events management;Conference resources;EPC system at University Library;System for publication registration;Normal;"The conference organizers are able to upload the resources of the conference.
The resources remain accessible after the conference.";;;
UCA;Exams;Diploma certification;CVTRUST;;Normal;The diplomas can be asserted by the employers thanks to the diploma certification.;;;
MCI;Learning  and teaching;Information about exams;Sakai;Sakai announcement with useful info for exam (log-in, time, date …);0;"This service allows the professors to set announcements with useful information about exams for their students, as the date and time.
The students can view these information, receive reminders.";;;
MCI;Exams;Online exams;Tcexam;"Single-, multiple-choice, and open questions with extended audit trail 
Notice : 
Lecturers send exam questions (Excel) to assistants who then implement the content into exam tool.";Core;"The professors can prepare and plan online exams. It can be either visio exams, or 
online MCQ and open questions.
The students can run exams online durnig the allocated time.
The exams are rated online as well.";;;
MCI;Exams;Online exams;Schuhfried WTS;;Core;"The professors can prepare and plan online exams. It can be either visio exams, or 
online MCQ and open questions.
The students can run exams online durnig the allocated time.
The exams are rated online as well.";;;
UniGe;Exams;Online exams;Moodle;;Core;"The professors can prepare and plan online exams. It can be either visio exams, or 
online MCQ and open questions.
The students can run exams online durnig the allocated time.
The exams are rated online as well.";;;
TUKE;Exams;Online exams;Moodle & Webex;combination of individual tools;Core;"The professors can prepare and plan online exams. It can be either visio exams, or 
online MCQ and open questions.
The students can run exams online durnig the allocated time.
The exams are rated online as well.";;;
TUKE;Exams;Online exams;Webex;oral exams;Core;"The professors can prepare and plan online exams. It can be either visio exams, or 
online MCQ and open questions.
The students can run exams online durnig the allocated time.
The exams are rated online as well.";;;
UniGe;Exams;Plagiarism detection;Compilatio;;0;The plagiarism detection service supports the professors in the assessment of the works of the students. It automatically compares the student's works with existing works to prevent plagiarism. ;;;
MCI;Exams;Results access;Sakai;All relevant information about courses, exam results etc. are announced on Sakai;Normal;"The professors or the admin staff can anounce the results publication.
The students can access the results.";;;
UCA;Exams;Results access;ENT;Digital Environnement Service of the student;Normal;"The professors or the admin staff can anounce the results publication.
The students can access the results.";;;
USE ;Exams;Results access;Sevius.us.es;Self-developed internal information platform;Normal;"The professors or the admin staff can anounce the results publication.
The students can access the results.";;;
TUKE;Exams;Results access;MAIS Portail;;Normal;"The professors or the admin staff can anounce the results publication.
The students can access the results.";;;
UniGe;Collaboration & communication;Survey management;LimeSurvey;;0;"This service includes :
- the design of the survey : setting the questions and the type of response expected
- the spreading of the survey : make it public or not, get a sharing link
-  the results management : visualize the results details, export the results.";;;
UCA;Exams;Online exams;Zoom;UCA does not promote remote exams;Core;"The professors can prepare and plan online exams. It can be either visio exams, or 
online MCQ and open questions.
The students can run exams online durnig the allocated time.
The exams are rated online as well.";;;
USE ;GDPR;GDPR compliance;gestionlopd.us.es;Software platform based on Redmine for GDPR management;Core;The GDPR compliance service contains the solutions that exist to make sure that the system is GDPR compliant.;;;
USE ;GDPR;GDPR training;Blackboard Learn;For training;Normal;Training tools are available to educate the users about GDPR.;;;
UCA;Campus & Community;Information about partners ;KSUP;;Core;The informations about the universities partners are entered by the university administration and available for everybody (internal and exaternal users).;;;
UCA;Campus & Community;Information about partners ;Mobility Tool;;Core;The informations about the universities partners are entered by the university administration and available for everybody (internal and exaternal users).;;;
TUKE;Campus & Community;Information about partners ;MAIS Portail;;Core;The informations about the universities partners are entered by the university administration and available for everybody (internal and exaternal users).;;;
MCI;Learning  and teaching;Information about the classes;selfservice portal (myMCI);Course calendar with all relevant appointments can be found on myMCI;0;The students and the professor need to access all the details about their classes, as the way the course is taught (online, on premise), who is teaching, the number of students enrolled, etc.;;;
UniGe;Learning  and teaching;Information about the classes;EasyAcademy ;Infos about classes for the students;0;The students and the professor need to access all the details about their classes, as the way the course is taught (online, on premise), who is teaching, the number of students enrolled, etc.;;;
TUKE;Learning  and teaching;Learning Management ;Broadcasting rooms;Special rooms with video conferencing equipments, touch screen and sound system;Core;"The learning management systems support the learning process.
The professors can share the courses materials, plan their courses, communicate with their students and make online presentations.
The students have a personal space, they can access all the resources for the courses, ask questions, access the assignments.";;;
MCI;Learning  and teaching;Learning Management ;Sakai;;Core;"The learning management systems support the learning process.
The professors can share the courses materials, plan their courses, communicate with their students and make online presentations.
The students have a personal space, they can access all the resources for the courses, ask questions, access the assignments.";;;
UCA;Learning  and teaching;Learning Management ;Moodle;;Core;"The learning management systems support the learning process.
The professors can share the courses materials, plan their courses, communicate with their students and make online presentations.
The students have a personal space, they can access all the resources for the courses, ask questions, access the assignments.";;;
UniGe;Learning  and teaching;Learning Management ;Moodle;;Core;"The learning management systems support the learning process.
The professors can share the courses materials, plan their courses, communicate with their students and make online presentations.
The students have a personal space, they can access all the resources for the courses, ask questions, access the assignments.";;;
USE ;Learning  and teaching;Learning Management ;Blackboard Learn (in SaaS mode);For managing courses (content, evaluation, student communication, etc.) > synchronized with the Academic ERP ;Core;"The learning management systems support the learning process.
The professors can share the courses materials, plan their courses, communicate with their students and make online presentations.
The students have a personal space, they can access all the resources for the courses, ask questions, access the assignments.";;;
USE ;Learning  and teaching;Learning Management ;Blackboard Collaborate Ultra (in SaaS mode);For remote live session.;Core;"The learning management systems support the learning process.
The professors can share the courses materials, plan their courses, communicate with their students and make online presentations.
The students have a personal space, they can access all the resources for the courses, ask questions, access the assignments.";;;
TUKE;Learning  and teaching;Learning Management ;Moodle;;Core;"The learning management systems support the learning process.
The professors can share the courses materials, plan their courses, communicate with their students and make online presentations.
The students have a personal space, they can access all the resources for the courses, ask questions, access the assignments.";;;
MCI;Learning  and teaching;Library;N/A : under construction;;Important;"The researchers can access research repositories.
The students, professors and researchers can access databases to find publications.
Some of the universities have their own library. They use external open libraries as well.";;;
UCA;Learning  and teaching;MOOC platform;FUN;;Core;"The MOOC platform is used to make open courses available.
The university can publish it open courses and the users can search and access the content.";;;
USE ;Learning  and teaching;MOOC platform;Blackboard Learn (in SaaS mode);For managing courses (content, evaluation, student communication, etc.) > synchronized with the Academic ERP ;Core;"The MOOC platform is used to make open courses available.
The university can publish it open courses and the users can search and access the content.";;;
TUKE;Learning  and teaching;MOOC platform;Moodle;;Core;"The MOOC platform is used to make open courses available.
The university can publish it open courses and the users can search and access the content.";;;
UniGe;Learning  and teaching;PDF annotations;Amanote;Currently Postfix + dovecot;Normal;"The users can add notes on PDF files.
This service is not collaborative.";;;
UCA;Courses management;Planning;ADE;Planning and time schedules ;Normal;The admin staff can manage the classes plannings : set a time and a place.;;;
MCI;Learning  and teaching;Planning overview;Excel;;Normal;The planning overview allows the users to review their personal planning.;;;
USE ;Learning  and teaching;Quality assurance and curricula monitoring ;logros.us.es;Quality assurance an curricula monitoring (self-develop);Normal;"The quality assurance is based on insights (attendance to the classes, credits, credits earned, etc.).
These insights are accessible for the admin staff.";;;
MCI;Campus & Community;Video Streaming;Vimeo;;Normal;"The video streaming is a method of viewing video without actually downloading the media files.
The video streaming could be useful for the students to take their online courses and access any academic content in a video format.";;;
UCA;Courses management;Teaching Services;SGCE;We are testing a new tool to dispatch the teaching services according to the teachers’ wishes;Core;"The teaching services allows to manage the hours of service (estimated and realized).
It can allow the dispatch of the teaching services according to the teachers wishes as well.";;;
UCA;Courses management;Teaching Services;OSE;Teaching services of the teachers are prepared with a tool called OSE. ;Core;"The teaching services allows to manage the hours of service (estimated and realized).
It can allow the dispatch of the teaching services according to the teachers wishes as well.";;;
MCI;Network;Federated Wireless Network;EduRoam;;0;"The federated wireless network provides simple and secure connectivity from many hotspots across several countries and in different locations : campus, but also libraries, museum, coffee shops, etc. 
The authentication is done by the user's home institution.";;;
