Journey ;ID;Code V0;Code VF;Experience;Theme;Service;Epic;Description;User;Priority;WP;Cartography 
Cross Journeys Onboarding;11;INFORMATIONV1.1;INFORMATIONV1.1-8;INFORMATION;Support;Academic Support Desk ;Answer academic requests on the chat;;Admin staff;V1.1;T.3.1;Support Chat
Cross Journeys Onboarding;12;INFORMATIONV1.1;INFORMATIONV1.1-9;INFORMATION;Support;Academic Support Desk ;Contact the Ulysseus academic team for more information;Select the topic of our query, provide detail on my request and my contact details to be called /emailed back ;Student;V1.1;T.3.1;Ticket management
Cross Journeys Onboarding;13;INFORMATIONV1.1;INFORMATIONV1.1-10;INFORMATION;Support;Academic Support Desk ;Address students' queries ;Get notified for new query, transfer a query, reply to a query, request clarifications ;Admin staff;V1.1;T.3.1;Ticket management
Cross Journeys Onboarding;14;INFORMATIONV1.1;INFORMATIONV1.1-11;INFORMATION;Support;Accessibility;Log in Ulysseus platform with my credentials from my university;Log in to the Ulysseus platform with my credentials from my home university;All users;V1.1;Not assigned;Authentication
Cross Journeys Onboarding;15;INFORMATIONV1.1;INFORMATIONV1.1-12;INFORMATION;Support;Accessibility;Select a language;Select a language - any language of the 6 universities of the Alliance;All users;V1.1;T.2.2;Language choice
Cross Journeys Onboarding;16;INFORMATIONV1.1;INFORMATIONV1.1-13;INFORMATION;Support;Accessibility;Access the Ulysseus platform through different devices ;Ensure responsive design so the user can access and review the different screens of the platform through a computer, a smartphone or a tablet ;All users;V1.1;T.4.2;Responsive
Cross Journeys Onboarding;17;INFORMATIONV1.1;INFORMATIONV1.1-14;INFORMATION;Support;Accessibility;Benefit from all Ulysseus online services with my disabilities ;Follow the RGAA guidelines or other European Accessibility guidelines . Web accessibility encompasses all disabilities that affect access to the Web, including visual, auditory, physical, speech, cognitive, and neurological disabilities.;All users;V1.1;T.2.4;Inclusive interface
Cross Journeys Onboarding;18;REGISTRATIONV1.1;REGISTRATIONV1.1-1;REGISTRATION;Support;Administrative Support Desk ;Chat with the administrative support desk;;Student;V1.1;T.2.2;Support Chat
Cross Journeys Onboarding;19;REGISTRATIONV1.1;REGISTRATIONV1.1-2;REGISTRATION;Support;Administrative Support Desk ;Answer an administrative request on the chat;;Admin staff;V1.1;T.2.2;Support Chat
Cross Journeys Onboarding;20;REGISTRATIONV1.1;REGISTRATIONV1.1-3;REGISTRATION;Support;Administrative Support Desk ;Raise an administrative request online ;Select the nature of my request (e.g. request an official transcript, request a new ID card), detail my request, submit my request ;Student;V1.1;T.2.2;Ticket management
Cross Journeys Onboarding;21;REGISTRATIONV1.1;REGISTRATIONV1.1-4;REGISTRATION;Support;Administrative Support Desk ;Manage my administrative requests online ;Review the status of any administrative request raised online (e.g. change in learning agreement, grant status);Student;V1.1;T.2.2;Ticket management
Cross Journeys Onboarding;22;REGISTRATIONV1.1;REGISTRATIONV1.1-5;REGISTRATION;Support;Administrative Support Desk ;Process students' administrative requests ;Review the outstanding requests, trigger an alert if the request was not filled properly, re-assign a request to the right administrative person, close the request once it is addressed ;Admin staff;V1.1;T.2.2;Ticket management
Journey 1 Education;23;GRADUATIONV1.1;GRADUATIONV1.1-1;GRADUATION;Support;Administrative Support Desk ;Apply for my graduation;Fill an application, upload documentation, save the application, review the application ;Student;V1.1;T.2.2;Ticket management
Cross Journeys Onboarding;24;APPLICATIONV1.1;APPLICATIONV1.1-2;APPLICATION;Application;Admissions and Enrollment Management;Open a new program for admission ;"""Customize the application questionnaire to collect the required information from the students based on the program, set the application deadline, set the names of the approvers/reviewers 
Set an """"opening date"""" on the form""";Admin staff;V1.1;T.3.1;Application Forms Creation
Cross Journeys Onboarding;25;APPLICATIONV1.1;APPLICATIONV1.1-3;APPLICATION;Application;Admissions and Enrollment Management;Apply online to the program of my choice ;Submit the required documents, fill pre-filled questionnaires, save and review my application, submit my application;Student;V1.1;T.3.1;Application Submission
Cross Journeys Onboarding;26;APPLICATIONV1.1;APPLICATIONV1.1-4;APPLICATION;Application;Admissions and Enrollment Management;Track my application ;View the status of my application to know whether I have been accepted in my program, receive a notification if a document is missing ;Student;V1.1;T.3.1;Application Tracking & Notification Management
Cross Journeys Onboarding;27;APPLICATIONV1.1;APPLICATIONV1.1-5;APPLICATION;Application;Admissions and Enrollment Management;Divide the applications between multiple review staff ;Assign applications to one or more different reviewers ;Admin staff;V1.1;T.3.1;Approval Workflow management
Cross Journeys Onboarding;28;APPLICATIONV1.1;APPLICATIONV1.1-6;APPLICATION;Application;Admissions and Enrollment Management;Smooth post application communication with the student;Trigger an alert if a document is missing, Inform the student when there is an update related to his/ her application;Admin staff;V1.1;T.3.1;Application Tracking & Notification Management
Cross Journeys Onboarding;29;APPLICATIONV1.1;APPLICATIONV1.1-7;APPLICATION;Application;Admissions and Enrollment Management;Accept / reject an application;Manage sequential approvals to include all the stakeholders, complete the application review process with an approval or rejection;Admin staff;V1.1;T.3.1;Approval Workflow management
Cross Journeys Onboarding;30;APPLICATIONV1.1;APPLICATIONV1.1-8;APPLICATION;Application;Admissions and Enrollment Management;Track the approval process between the different approvers / universities ;Workflow management process for all stakeholders to view where is an application;Admin staff;V1.1;T.3.1;Approval Workflow management
Journey 1 Education;31;EXAMSV1.1;EXAMSV1.1-1;EXAMS;Application;Admissions and Enrollment Management;Generate final learning agreement;Generate final learning agreement once the student's grades are confirmed and process the required credit transfers;Admin staff;V1.1;T.6.8;Learning Agreement Management 
Journey 1 Education;32;GRADUATIONV1.1;GRADUATIONV1.1-2;GRADUATION;Application;Admissions and Enrollment Management;Apply for my graduation;Fill an application, upload documentation, save the application, review the application ;Student;V1.1;T.2.2;Application Submission
Journey 1 Education;33;GRADUATIONV1.1;GRADUATIONV1.1-3;GRADUATION;Application;Admissions and Enrollment Management;Manage students' application for graduation ;Track the applications received for graduation, automatically flag if a student does not meet the curriculum requirements, share the graduation convocation once the application is confirmed ;Admin staff;V1.1;Not assigned;Application Tracking & Notification Management
Cross Journeys Innovation;34;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-2;ENTREPRENEURSHIP;Application;Admissions and Enrollment Management;Apply to join the incubator / acceleration programs ;Fill an application, upload documentation, save the application, review the application ;Entrepreneur;V1.1;T.2.6;Application Submission
Cross Journeys Innovation;35;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-3;ENTREPRENEURSHIP;Application;Admissions and Enrollment Management;Track my application to the incubator;View the status of my application to know whether I have been accepted in my program, receive a notification if a document is missing ;Entrepreneur;V1.1;T.2.6;Application Tracking & Notification Management
Cross Journeys Innovation;36;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-4;ENTREPRENEURSHIP;Application;Admissions and Enrollment Management;Accept / reject an application for one of the incubation programs;Manage sequential approvals to include all the stakeholders, complete the application review process with an approval or rejection;Admin staff;V1.1;T.2.6;Approval Workflow management
Cross Journeys Onboarding;37;REGISTRATIONV1.1;REGISTRATIONV1.1-6;REGISTRATION;Analytics;Admissions and Enrollment Management;Search students and generate a list of students based on a list of criteria;Track the incoming/outgoing registered Ulysseus students in a given semester, identify the first year students;Admin staff;V1.1;Not assigned;Reporting
Cross Journeys Onboarding;38;INFORMATIONV1.1;INFORMATIONV1.1-15;INFORMATION;Community & campus;Community & Campus Information;Find information about housing;View information about the areas, the prices, etc.;Student;V1.1;T.6.5;Information and Documentation
Cross Journeys Onboarding;39;INFORMATIONV1.1;INFORMATIONV1.1-16;INFORMATION;Community & campus;Community & Campus Information;Post and find housing ads;"""Publish an ad for an apartment / co-tenants 
Search through the ads""";Student;V1.1;T.6.5;Announcement Board
Cross Journeys Campus Life;40;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-1;CAMPUS LIFE;Community & campus;Community & Campus Information;Search information about Ulysseus student associations;Maintain the directory of all the students' associations, filter and search the associations based on a set of criteria ;Student;V1.1;T.2.7;Information Search 
Cross Journeys Campus Life;41;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-2;CAMPUS LIFE;Community & campus;Community building and management;Create a mailing list ;Search people  based on a list of criteria, select all, unselect, select only a few. Save a mailing list ;Admin staff;V1.1;Not assigned;Mailing List
Cross Journeys Campus Life;42;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-3;CAMPUS LIFE;Community & campus;Community building and management;Export a mailing list ;Extract all the email addresses of the selected people and export the list to outlook to create a mailing list ;Admin staff;V1.1;Not assigned;Mailing List
Cross Journeys Campus Life;43;CAMPUS LIFEV1.1;CAMPUS LIFEV1.1-4;CAMPUS LIFE;Community & campus;Community building and management;Share Campus-wide announcements;Inform students on the launch of new activities, events, campus rules through the announcement board targeting all the students  ;Admin staff;V1.1;T.2.7;Announcement Board
Cross Journeys Ecosystem Interactions;44;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-1;INTERACT WITH THE ECOSYSTEM;Community & campus;Community building and management;Search the Ulysseus directory ;Filter and search the Ulysseus directory by name, university, faculty;All users;V1.1;T.4.2;Ulysseus Directory 
Cross Journeys Onboarding;45;REGISTRATIONV1.1;REGISTRATIONV1.1-7;REGISTRATION;Learning and teaching;Courses administration;Upload the class schedule for the semester ;Provide the schedule of classes, the number of available slots, professor's name, online versus offline, the pre-requisites;Admin staff;V1.1;T.3.1;Courses Planning
Cross Journeys Onboarding;46;REGISTRATIONV1.1;REGISTRATIONV1.1-8;REGISTRATION;Learning and teaching;Courses administration;Record the classes' equivalences among the Alliance's universities;Map the equivalences between the different courses offered by the universities as they get approved by the program's directors and store the acknowledgement documents ;Admin staff;V1.1;T.6.1;Courses Planning
Cross Journeys Onboarding;47;REGISTRATIONV1.1;REGISTRATIONV1.1-9;REGISTRATION;Learning and teaching;Courses administration;Search for classes ;Search through the available classes by topic, faculty, professor, university, availabilities, key competencies ;Student;V1.1;T.3.1;Information Search 
Cross Journeys Onboarding;48;REGISTRATIONV1.1;REGISTRATIONV1.1-10;REGISTRATION;Learning and teaching;Courses administration;Receive classes recommendations based on my program;Review the list of core courses mapped to my programs;Student;V1.1;T.3.1;Courses Planning
Cross Journeys Onboarding;49;REGISTRATIONV1.1;REGISTRATIONV1.1-11;REGISTRATION;Learning and teaching;Courses administration;Get more information about the classes;Review the classes available in my program, identify the pre-requisites. Review the equivalences available across the Alliance for the same class. ;Student;V1.1;T.3.1;Courses Catalog 
Cross Journeys Onboarding;50;REGISTRATIONV1.1;REGISTRATIONV1.1-12;REGISTRATION;Learning and teaching;Courses administration;Register in a class ;Confirm my registration in a class, request to be in waiting list, cancel my registration;Student;V1.1;T.3.1;Registration Management 
Cross Journeys Onboarding;51;REGISTRATIONV1.1;REGISTRATIONV1.1-13;REGISTRATION;Learning and teaching;Courses administration;Manage class registration ;Track the number of students registered through Ulysseus or the university's platform to a class, block the registration if the maximum number of students is reached for this class ;Admin staff;V1.1;T.3.1;Registration Management 
Cross Journeys Onboarding;52;REGISTRATIONV1.1;REGISTRATIONV1.1-14;REGISTRATION;Learning and teaching;Courses administration;Generate the list of students attending my classes ;Generate the list of student for each class, select the format (csv, pdf) and download ;Professor;V1.1;Not assigned;Reporting
Journey 1 Education;53;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-1;LECTURE & TUTO;Learning and teaching;Courses administration;Create my class's schedule ;Set the dates for the assignments, the lectures' due dates;Professor;V1.1;T.2.2;Courses Planning
Journey 1 Education;54;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-2;LECTURE & TUTO;Learning and teaching;Courses administration;Search the catalog of open-access online class;"Review and search the catalog of available open classes (EU classes targeting citizens, language course, digital skills courses) by topic; Read the class description";All users;V1.1;T.5.7;Information Search 
Journey 1 Education;55;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-3;LECTURE & TUTO;Learning and teaching;Courses administration;Register to an open-access online class ;Select a class, register to a class, receive a confirmation;All users;V1.1;T.5.7;Registration Management 
Cross Journeys Onboarding;56;INFORMATIONV1.1;INFORMATIONV1.1-17;INFORMATION;Learning and teaching;Courses administration;Upload a list of available training opened to academic and non-academic staff ;Upload a list in excel or csv format, manually update the list of trainings ;Admin staff;V1.1;T.6.1;Information and Documentation
Cross Journeys Onboarding;57;INFORMATIONV1.1;INFORMATIONV1.1-18;INFORMATION;Learning and teaching;Courses administration;Register for a training ;Upload a list in excel or csv format, manually update the list of trainings ;Admin staff;V1.1;T.6.1;Registration Management 
Journey 2 Research Project Lifecycle;58;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-1;PROJECT FINANCING;Collaboration & communication;Customer/partners Relationship Management;Access the external agencies directory;Search through a consolidated directory  of all agencies - their name, role & mission, key contact person ;Researchers;V1.1;T.2.2;Account Search 
Journey 2 Research Project Lifecycle;59;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-2;PROJECT FINANCING;Collaboration & communication;Customer/partners Relationship Management;Manage the external agencies directory;Upload the existing information maintained by each university on the research agencies, any new entry in the respective university's directory is reflected at Ulysseus level ;Admin staff;V1.1;T.2.2;Account Management 
Journey 2 Research Project Lifecycle;60;COLLABORATEV1.1;COLLABORATEV1.1-1;COLLABORATE;Collaboration & communication;Customer/partners Relationship Management;Create accounts for external users;Create an account for an external user: private company, agency, territorial organization, indicate their industry, their field of interest ;Researchers & PhD students ;V1.1;T.2.2;Account Management 
Journey 2 Research Project Lifecycle;61;COLLABORATEV1.1;COLLABORATEV1.1-2;COLLABORATE;Collaboration & communication;Customer/partners Relationship Management;Administer accounts of external users ;Validate requests to create new accounts for external users, create new accounts, delete accounts, edit information;Admin staff;V1.1;T.2.2;Account Management 
Journey 2 Research Project Lifecycle;62;COLLABORATEV1.1;COLLABORATEV1.1-3;COLLABORATE;Collaboration & communication;Customer/partners Relationship Management;Update a user's contact details under one account ;Add a new contact in the account, select the confidentiality level of the information, map existing projects to an account card, upload documentation;Researchers & PhD students ;V1.1;T.2.2;Contact Management
Journey 2 Research Project Lifecycle;63;COLLABORATEV1.1;COLLABORATEV1.1-4;COLLABORATE;Collaboration & communication;Customer/partners Relationship Management;Record an interaction with one external user ;Update the contact card with details on the latest interaction;Researchers & PhD students ;V1.1;T.2.2;Interaction Tracking
Journey 2 Research Project Lifecycle;64;COLLABORATEV1.1;COLLABORATEV1.1-5;COLLABORATE;Collaboration & communication;Customer/partners Relationship Management;Track the interactions for each account ;Review the historical interactions with the partner;Researchers & PhD students ;V1.1;T.2.2;Interaction Tracking
Cross Journeys Onboarding;65;REGISTRATIONV1.1;REGISTRATIONV1.1-15;REGISTRATION;Analytics;Dashboard and Analytics ;Upload university's selected raw data that contributes to ranking (patents reference, KPIs);Upload large CSV file with the data;Admin staff;V1.1;T.6.7;Data Visualization
Cross Journeys Onboarding;66;REGISTRATIONV1.1;REGISTRATIONV1.1-16;REGISTRATION;Analytics;Dashboard and Analytics ;Curate the data from multiple sources ;Organize, clean and integrate the data collected from the different universities' sources ;Admin staff;V1.1;T.6.7;Data Curation
Cross Journeys Onboarding;67;REGISTRATIONV1.1;REGISTRATIONV1.1-17;REGISTRATION;Analytics;Dashboard and Analytics ;Create and calculate Ulysseus KPIs;Create a KPI by entering the key variables, set a threshold ;Admin staff;V1.1;T.1;Data Visualization
Cross Journeys Onboarding;68;REGISTRATIONV1.1;REGISTRATIONV1.1-18;REGISTRATION;Analytics;Dashboard and Analytics ;Generate dashboard and track KPIs for the Ulysseus program ;Track selected KPIs for the bachelor and master students registered in the Ulysseus programs (i.e. gender, ages, partner universities, disabilities, mobility types);Admin staff;V1.1;T.1;Dashboards Generation
Cross Journeys Onboarding;69;REGISTRATIONV1.1;REGISTRATIONV1.1-19;REGISTRATION;Analytics;Dashboard and Analytics ;Generate and review individual's student's dashboard ;View the student's program, track student's progress along the program (completed classes, registered classes), location, GPA;Admin staff;V1.1;Not assigned;Data Visualization
Cross Journeys Onboarding;70;REGISTRATIONV1.1;REGISTRATIONV1.1-20;REGISTRATION;Analytics;Dashboard and Analytics ;Extract and export KPI data;Search and select KPIs and export the information in excel or csv format ;Admin staff;V1.1;T.1;Data Extraction
Journey 1 Education;71;GROUP PROJECTSV1.1;GROUP PROJECTSV1.1-1;GROUP PROJECTS;Collaboration & communication;Document Management and Collaboration;Create a workspace with for my student group project;Create and manage a work group;Student;V1.1;T.1;Workspace Management
Journey 1 Education;72;GROUP PROJECTSV1.1;GROUP PROJECTSV1.1-2;GROUP PROJECTS;Collaboration & communication;Document Management and Collaboration;Share / access documents with other students ;Work together on files;Student;V1.1;T.1;Document Co-Edit
Journey 1 Education;73;GROUP PROJECTSV1.1;GROUP PROJECTSV1.1-3;GROUP PROJECTS;Collaboration & communication;Document Management and Collaboration;Request to grant access to documents in your common workspace to external partners;Request to share a workspace or specific documents with an external partner to faciliate the collaboration and the exchange of documents ;Student;V1.1;Not assigned;File Access Management 
Journey 1 Education;74;GROUP PROJECTSV1.1;GROUP PROJECTSV1.1-4;GROUP PROJECTS;Collaboration & communication;Document Management and Collaboration;Validate requests to grant access to external partners ;;Admin staff;V1.1;Not assigned;File Access Management 
Journey 2 Research Project Lifecycle;75;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-3;PROJECT FINANCING;Collaboration & communication;Document Management and Collaboration;Identify a call for projects for my research across a consolidated list of existing CFP;Search and access a consolidated list of  CFP (European, national, bi-national), filter the results based on my field of study, the value of financing, the time period ;Researchers;V1.1;T.3.3;Document Repository 
Journey 2 Research Project Lifecycle;76;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-4;PROJECT FINANCING;Collaboration & communication;Document Management and Collaboration;Upload templates for proposals;Create / upload templates;Admin staff;V1.1;T.3.3;Document Repository 
Journey 2 Research Project Lifecycle;77;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-5;PROJECT FINANCING;Collaboration & communication;Document Management and Collaboration;Leverage templates to write proposals ;Browse through a library of proposal templates ;Researchers;V1.1;T.3.3;Document Repository 
Journey 2 Research Project Lifecycle;78;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-6;PROJECT FINANCING;Collaboration & communication;Document Management and Collaboration;Join a team to co-write a Ulysseus proposal ;View the list of open proposals, search through by topics, identify names of the researchers;Researchers;V1.1;T.3.3;Document Repository 
Journey 2 Research Project Lifecycle;79;PROJECT FINANCINGV1.1;PROJECT FINANCINGV1.1-7;PROJECT FINANCING;Collaboration & communication;Document Management and Collaboration;Co-write a proposal (edit online);Collaborate, write and edit scientific documents;Researchers;V1.1;T.3.3;Document Co-Edit
Journey 2 Research Project Lifecycle;80;COLLABORATEV1.1;COLLABORATEV1.1-6;COLLABORATE;Collaboration & communication;Document Management and Collaboration;Create a virtual workspace with Ulysseus members to manage a research project ;Create a group, invite members, share documents;Researchers & PhD students ;V1.1;T.1;Workspace Management
Journey 2 Research Project Lifecycle;81;COLLABORATEV1.1;COLLABORATEV1.1-7;COLLABORATE;Collaboration & communication;Document Management and Collaboration;Share documents with my research project members;Support CRUD functionalities ;Researchers & PhD students ;V1.1;T.1;Document Repository 
Journey 2 Research Project Lifecycle;82;RESEARCHV1.1;RESEARCHV1.1-1;RESEARCH;Collaboration & communication;Document Management and Collaboration;Search the list of existing IP assets available across Ulysseus ;Browse through the list of existing IP assets and search by asset type, university, research field, key words;Researchers & PhD students ;V1.1;Not assigned;Search function
Journey 2 Research Project Lifecycle;83;RESEARCHV1.1;RESEARCHV1.1-2;RESEARCH;Collaboration & communication;Document Management and Collaboration;Access the existing IP assets available across Ulysseus ;Read information about the asset and the name of the key contact person ;Researchers & PhD students ;V1.1;Not assigned;Document Repository 
Journey 2 Research Project Lifecycle;84;THESIS SUBMISSIONV1.1;THESIS SUBMISSIONV1.1-1;THESIS SUBMISSION;Collaboration & communication;Document Management and Collaboration;Upload thesis templates;Create / upload thesis templates;Admin staff;V1.1;Not assigned;Document Repository 
Journey 2 Research Project Lifecycle;85;THESIS SUBMISSIONV1.1;THESIS SUBMISSIONV1.1-2;THESIS SUBMISSION;Collaboration & communication;Document Management and Collaboration;Leverage Ulysseus thesis templates;Browse through a library of thesis templates ;PhD students;V1.1;Not assigned;Document Repository 
Cross Journeys Ecosystem Interactions;86;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-2;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Document Management and Collaboration;Create a workspace between professors;Create and manage a group with professors;Professor;V1.1;Not assigned;Workspace Management
Cross Journeys Ecosystem Interactions;87;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-3;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Document Management and Collaboration;Share / access documents between professors;Work together on files;Professor;V1.1;Not assigned;Document Repository 
Cross Journeys Exit Program;88;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-1;EXIT A PROGRAM;Collaboration & communication;Document Management and Collaboration;Share documentation with students to help them shape their career ;Upload documents, classify documents, add tags to facilitate search functionalities ;Admin staff;V1.1;T.4.2;Document Repository 
Cross Journeys Exit Program;89;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-2;EXIT A PROGRAM;Collaboration & communication;Document Management and Collaboration;Search through a library of documents regarding career management ;Browse and search through a library of document by topics;Student;V1.1;T.4.2;Search function
Cross Journeys Exit Program;90;EXIT A PROGRAMV1.1;EXIT A PROGRAMV1.1-3;EXIT A PROGRAM;Collaboration & communication;Document Management and Collaboration;Document myself on the best practices for job search and postdoctoral positions;Download documents, preview documents ;Student;V1.1;T.4.2;Document Repository 
Cross Journeys Innovation;91;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-5;ENTREPRENEURSHIP;Collaboration & communication;Document Management and Collaboration;Create and update Ulysseus entrepreneurship resources ;;Entrepreneur;V1.1;T.2.6;Document Repository 
Cross Journeys Innovation;92;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-6;ENTREPRENEURSHIP;Collaboration & communication;Document Management and Collaboration;Search through Ulysseus available entrepreneurship guides ;Navigate the library of available documents , search by topic, date, download or preview the documents;Entrepreneur;V1.1;T.2.6;Search function
Cross Journeys Ecosystem Interactions;93;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-4;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Document storage management;Raise a request to grant access to my documents to external partners ;;All users;V1.1;T.1; File Access Management
Cross Journeys Ecosystem Interactions;94;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-5;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Document storage management;Validate requests to grant access to external partners ;;Admin staff;V1.1;T.1; File Access Management
Cross Journeys Ecosystem Interactions;95;INTERACT WITH THE ECOSYSTEMV1.1;INTERACT WITH THE ECOSYSTEMV1.1-6;INTERACT WITH THE ECOSYSTEM;Collaboration & communication;Document storage management;Manage my documents ;Create folders, organize folders, upload documents ;All users;V1.1;T.1;CRUD Functionalities
Cross Journeys Onboarding;96;INFORMATIONV1.1;INFORMATIONV1.1-19;INFORMATION;Support;FAQ;Read and search through the Ulysseus FAQ ;;Student;V1.1;T.7.2;Information Search 
Cross Journeys Onboarding;97;INFORMATIONV1.1;INFORMATIONV1.1-20;INFORMATION;Support;FAQ;Update the Ulysseus FAQ ;;Admin staff;V1.1;T.7.2;Information and Documentation
Cross Journeys Onboarding;98;APPLICATIONV1.1;APPLICATIONV1.1-9;APPLICATION;Resources management;Identity and Information Management ;Centrally manage Ulysseus members information;Easily extract all Ulysseus student's information and documentation ;Admin staff;V1.1;Not assigned;Users' Information Management
Cross Journeys Onboarding;99;REGISTRATIONV1.1;REGISTRATIONV1.1-21;REGISTRATION;Resources management;Identity and Information Management ;Create the accounts of Ulysseus members ;Create accounts for Ulysseus new members (new students, professors or members of the administration);Admin staff;V1.1;Not assigned;Users' Creation
Cross Journeys Onboarding;100;REGISTRATIONV1.1;REGISTRATIONV1.1-22;REGISTRATION;Resources management;Identity and Information Management ;Manage the accounts of Ulysseus members ;Manage the permissions, revoke permissions, delete accounts ;Admin staff;V1.1;Not assigned;Users' Maintenance
Journey 1 Education;101;LECTURE & TUTOV1.1;LECTURE & TUTOV1.1-4;LECTURE & TUTO;Resources management;Identity and Information Management ;Register as an external user to follow open-access online classes;Create an account as an External Ulysseus member with my email address and access open class catalog ;External users;V1.1;Not assigned;Users' Creation
Cross Journeys Innovation;102;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-7;ENTREPRENEURSHIP;Support;Innovation Support Desk  ;Chat with the Innovation support desk;;Entrepreneur;V1.1;T.2.6;Support Chat
Cross Journeys Innovation;103;ENTREPRENEURSHIPV1.1;ENTREPRENEURSHIPV1.1-8;ENTREPRENEURSHIP;Support;Innovation Support Desk  ;Answer Innovation requests on the chat;;Admin staff;V1.1;T.2.6;Support Chat
